id,action,details,created_at
log_1785842558871_waip,Kasuri Methi (Stock IN (+)),'+120 pcs | Manual IN entry recorded for J013,2026-08-04T14:28:30.195Z
log_1785842477942_rapw,Corn Flour (Stock IN (+)),'+12 kg | Manual IN entry recorded for J012,2026-08-04T14:28:30.195Z
log_1785842444912_0i2l,Vinegar (Stock IN (+)),'+10 pcs | Manual IN entry recorded for J011,2026-08-04T14:28:30.195Z
log_1785842432455_vzaf,Soy Sauce (Stock IN (+)),'+4 pcs | Manual IN entry recorded for J010,2026-08-04T14:28:30.195Z
log_1785842397280_3565,Chili Sauce (Stock IN (+)),'+15 pcs | Manual IN entry recorded for J009,2026-08-04T14:28:30.195Z
log_1785842351464_jdce,Tomato Sauce (টমেটো sos) (Stock IN (+)),'+30 packet | Manual IN entry recorded for J008,2026-08-04T14:28:30.195Z
log_1785842340432_0tt1,Chowmein Noodle (চাউমিন) (Stock IN (+)),'+100 packet | Manual IN entry recorded for J007,2026-08-04T14:28:30.195Z
log_1785842320955_eu8c,Chowmein Noodle (চাউমিন) (Delete wrong IN),'+50 packet | Deleted wrong IN entry for SKU J007,2026-08-04T14:28:30.195Z
log_1785842301570_rsxk,Chowmein Noodle (চাউমিন) (Stock IN (+)),'+50 packet | Manual IN entry recorded for J007,2026-08-04T14:28:30.195Z
log_1785842251470_97xp,Atta (আটা) (Stock IN (+)),'+30 kg | Manual IN entry recorded for J006,2026-08-04T14:28:30.195Z
log_rep_1_1785854327201,Rice (রাইস) (Stock IN (+)),'+4 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_2_1785854327201,Palm Oil (পাম অয়েল) (Stock IN (+)),'+150 packet | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_3_1785854327201,Refined Oil (রেফাইন্ড অয়েল) (Stock IN (+)),'+5 L | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_4_1785854327201,Mustard Oil (মাস্টার অয়েল) (Stock IN (+)),'+5 L | Report Stock IN entry,2026-08-04T14:38:54.196Z
log_rep_5_1785854327201,Maida (মাইদা) (Stock IN (+)),'+50 kg | Report Stock IN entry,2026-08-04T14:38:54.196Z
